Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Emission_Norm,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,Gears,Ground_Clearance,Odometer,Speedometer,Seating_Capacity,Transmission,ABS_(Anti-lock_Braking_System),EBD_(Electronic_Brake-force_Distribution),Number_of_Airbags
Ford,Endeavour,3.2L 4X4 At Titanium Plus,"Rs. 34,70,000",3198 cc,5,4,AWD (All Wheel Drive),BS IV,80 litres,Diesel,1837 mm,4903 mm,1869 mm,SUV,5,6,225 mm,Digital,Analog,7,Automatic,Yes,Yes,7
Ford,Endeavour,2.2L 4X2 At Titanium Plus,"Rs. 32,33,000",2198 cc,4,4,RWD (Rear Wheel Drive),BS IV,80 litres,Diesel,1837 mm,4903 mm,1869 mm,SUV,5,6,225 mm,Digital,Analog,7,Automatic,Yes,Yes,7
Ford,Endeavour,2.2L 4X2 Mt Titanium,"Rs. 29,20,000",2198 cc,4,4,RWD (Rear Wheel Drive),BS IV,80 litres,Diesel,1837 mm,4903 mm,1869 mm,SUV,5,6,225 mm,Digital,Analog,7,Manual,Yes,Yes,6
Mini,Cooper 3 Door,Cooper D,"Rs. 29,90,000",1496 cc,3,4,FWD (Front Wheel Drive),BS IV,44 litres,Diesel,1414 mm,3821 mm,1727 mm,Hatchback,3,6,,,,4,Automatic,Yes,Yes,2
Mini,Cooper 3 Door,Cooper S,"Rs. 34,20,000",1998 cc,4,4,FWD (Front Wheel Drive),BS IV,44 litres,Petrol,1414 mm,3850 mm,1727 mm,Hatchback,3,6,,Yes,Analog,5,Automatic,Yes,Yes,2
Skoda,Kodiaq Scout,2.0 Tdi At,"Rs. 33,99,000",1968 cc,4,4,4WD,BS 6,63 litres,Diesel,1665 mm,4697 mm,1882 mm,SUV,5,7,188 mm,Analog,Digital,7,Automatic,Yes,Yes,9
Bmw,X1,Sdrive20D Expedition,"Rs. 35,20,000",1995 cc,4,4,AWD (All Wheel Drive),BS IV,51 litres,Diesel,1612 mm,4439 mm,2060 mm,"Crossover, SUV",5,8,165 mm,Digital,Analog,5,Automatic,Yes,Yes,6
Bmw,X1,Sdrive20D Xline,"Rs. 39,30,000",1995 cc,4,4,AWD (All Wheel Drive),BS IV,51 litres,Diesel,1612 mm,4439 mm,2058 mm,"SUV, Crossover",5,8,165 mm,Digital,Analog,5,Automatic,Yes,Yes,6
Bmw,X1,Xdrive20D M Sport,"Rs. 45,70,000",1995 cc,4,4,AWD (All Wheel Drive),BS IV,51 litres,Diesel,1612 mm,4439 mm,2058 mm,"SUV, Crossover",5,8,165 mm,Digital,Analog,5,Automatic,Yes,Yes,6
Bmw,X1,Sdrive20D M Sport,"Rs. 42,40,000",1995 cc,4,4,RWD (Rear Wheel Drive),BS IV,61 litres,Diesel,1545 mm,4477 mm,2058 mm,SUV,5,8,179 mm,Digital,Analog,5,Automatic,Yes,Yes,6
Bmw,X1,Sdrive20I Xline,"Rs. 38,30,000",1998 cc,4,4,AWD (All Wheel Drive),BS 6,51 litres,Petrol,1612 mm,4439 mm,1821 mm,"Crossover, SUV",5,7,165 mm,Digital,Analog,5,Automatic,Yes,Yes,6
Volvo,S60,Polestar,"Rs. 56,02,000",1969 cc,4,4,FWD (Front Wheel Drive),BS IV,67 litres,Petrol,1484 mm,4635 mm,2097 mm,Sedan,4,8,136 mm,Digital,Analog,5,Automatic,Yes,,6
Volvo,S60,Momentum,"Rs. 38,50,500",1984 cc,5,4,FWD (Front Wheel Drive),BS IV,67.5 litres,Diesel,1484 mm,4635 mm,1865 mm,Sedan,4,8,136 mm,Digital,Digital,5,Automatic,Yes,Yes,6
